championId,win,ban,version
58,0,-1,8.8
39,0,-1,8.8
90,1,145,8.8
13,1,-1,8.8
43,1,497,8.8
7,1,76,8.8
105,1,5,8.8
8,0,25,8.8
163,0,223,8.8
91,1,145,8.8
5,1,145,8.8
164,0,76,8.8
223,1,51,8.8
4,1,142,8.8
8,0,-1,8.8
53,0,76,8.8
164,1,121,8.8
81,0,41,8.8
134,1,5,8.8
121,1,8,8.8
12,1,2,8.8
157,0,145,8.8
44,1,25,8.8
55,0,498,8.8
2,1,122,8.8
201,0,25,8.8
113,0,39,8.8
498,1,25,8.8
126,1,76,8.8
223,0,76,8.8
27,0,28,8.8
497,0,268,8.8
223,0,2,8.8
121,1,25,8.8
245,1,51,8.7
145,1,41,8.7
2,1,121,8.7
8,0,121,8.7
39,0,497,8.7
201,1,39,8.7
40,0,16,8.7
58,0,121,8.7
498,1,69,8.7
12,1,145,8.7
498,0,13,8.7
12,1,25,8.7
12,0,145,8.7
2,1,498,8.7
245,0,498,8.7
202,1,8,8.7
142,0,25,8.7
43,0,-1,8.7
201,0,5,8.7
2,0,24,8.7
202,0,145,8.7
12,0,497,8.7
34,0,51,8.7
117,1,5,8.7
69,0,121,8.7
164,1,81,8.7
43,0,13,8.7
50,0,43,8.7
13,0,498,8.7
51,1,24,8.7
136,0,2,8.7
164,0,5,8.7
24,1,29,8.7
201,0,39,8.7
12,0,5,8.7
16,1,497,8.7
12,0,164,8.7
164,1,223,8.7
150,1,110,8.7
72,0,-1,8.7
40,1,-1,8.7
412,0,164,8.7
51,0,113,8.6
44,0,41,8.6
69,0,-1,8.6
48,0,268,8.6
59,1,41,8.6
115,0,50,8.6
268,0,13,8.6
516,1,142,8.6
51,1,86,8.6
101,0,142,8.6
8,1,3,8.6
50,0,-1,8.6
114,1,33,8.6
72,0,14,8.6
497,1,34,8.6
24,1,25,8.6
145,1,164,8.6
8,1,164,8.6
81,1,164,8.6
154,1,145,8.6
498,1,223,8.6
2,0,498,8.6
498,0,-1,8.6
157,0,2,8.6
43,0,110,8.6
24,0,-1,8.6
12,1,-1,8.6
164,1,8,8.6
68,1,50,8.6
201,0,-1,8.6
110,1,498,8.6
412,0,110,8.6
201,0,498,8.6
126,1,145,8.6
516,0,24,8.6
201,0,223,8.6
101,0,51,8.6
150,0,164,8.6
201,0,24,8.6
8,0,142,8.6
164,0,41,8.6
25,1,498,8.6
14,1,498,8.6
145,1,-1,8.6
81,0,8,8.8
163,0,41,8.8
31,0,497,8.8
76,0,5,8.8
145,0,498,8.8
90,0,69,8.8
266,1,-1,8.8
497,0,5,8.8
69,1,5,8.8
25,1,5,8.8
136,0,164,8.8
43,0,121,8.8
55,1,5,8.8
81,0,142,8.8
78,0,497,8.8
43,0,121,8.8
14,0,5,8.8
412,1,145,8.8
16,0,121,8.8
150,1,7,8.8
497,0,5,8.8
12,0,145,8.8
142,1,164,8.8
126,0,164,8.8
69,0,25,8.8
103,0,48,8.8
154,0,113,8.8
498,0,39,8.8
53,1,7,8.8
76,1,498,8.8
69,1,41,8.8
43,1,122,8.8
121,1,2,8.8
50,0,164,8.8
92,0,121,8.8
122,1,-1,8.8
157,0,27,8.8
89,1,498,8.8
145,0,2,8.8
202,1,121,8.8
14,1,121,8.8
12,0,497,8.8
164,0,50,8.8
497,1,8,8.8
157,1,25,8.8
201,0,164,8.8
54,1,145,8.8
31,1,157,8.8
164,0,24,8.8
164,0,58,8.8
76,1,105,8.8
81,0,497,8.8
8,0,78,8.8
43,0,-1,8.8
81,1,25,8.8
122,0,25,8.8
157,1,2,8.8
121,0,9,8.8
40,1,-1,8.8
18,0,498,8.8
25,1,13,8.8
89,1,5,8.7
69,1,8,8.7
13,0,24,8.7
14,0,64,8.7
498,0,13,8.7
126,0,25,8.7
223,0,412,8.7
51,1,50,8.7
14,1,41,8.7
8,1,13,8.7
5,0,13,8.7
18,1,39,8.7
113,1,3,8.7
50,0,157,8.7
3,0,2,8.7
121,0,25,8.7
8,0,81,8.7
126,0,498,8.7
121,1,51,8.7
41,0,121,8.7
164,1,25,8.7
201,0,164,8.7
5,1,145,8.7
43,1,136,8.7
38,0,48,8.7
121,1,498,8.7
4,0,121,8.7
164,0,7,8.7
79,1,13,8.7
497,1,25,8.7
30,1,13,8.7
5,1,38,8.7
86,0,-1,8.7
497,0,145,8.7
64,1,121,8.7
164,0,163,8.7
8,1,74,8.7
145,0,5,8.7
43,0,25,8.7
69,1,24,8.7
498,0,145,8.7
134,1,164,8.7
25,1,163,8.7
16,1,-1,8.7
64,0,76,8.7
69,0,145,8.7
412,0,498,8.7
114,0,-1,8.7
14,0,2,8.7
412,0,516,8.7
81,1,497,8.7
136,1,223,8.7
16,0,-1,8.7
64,1,-1,8.7
5,1,13,8.7
81,0,25,8.7
8,0,13,8.7
497,1,51,8.7
110,0,145,8.7
54,0,38,8.7
64,1,164,8.7
72,0,121,8.7
50,0,27,8.7
268,1,38,8.7
51,0,145,8.7
145,1,27,8.7
223,1,121,8.7
164,0,50,8.7
136,0,2,8.7
21,0,498,8.7
421,1,43,8.7
3,0,164,8.7
121,1,72,8.7
58,1,25,8.8
51,1,81,8.8
81,1,-1,8.8
50,0,121,8.8
81,0,39,8.8
122,0,17,8.8
104,1,8,8.8
7,0,497,8.8
64,0,164,8.8
25,0,-1,8.8
58,1,145,8.8
72,0,2,8.8
79,0,145,8.8
25,0,114,8.8
8,1,145,8.8
12,0,39,8.8
136,1,38,8.8
127,0,91,8.8
76,0,51,8.8
81,0,157,8.8
145,1,497,8.8
16,1,69,8.8
497,1,145,8.8
5,0,69,8.8
39,1,163,8.8
412,0,27,8.8
72,0,13,8.8
245,1,41,8.8
412,1,497,8.8
81,0,145,8.8
5,0,150,8.8
27,0,114,8.8
497,0,164,8.8
43,0,145,8.8
16,0,7,8.8
59,1,498,8.8
39,1,25,8.8
81,0,516,8.8
5,1,223,8.8
202,1,114,8.8
41,0,145,8.8
14,0,121,8.8
498,1,86,8.8
498,1,121,8.8
90,1,2,8.8
2,0,245,8.8
12,0,164,8.8
223,0,51,8.8
41,1,39,8.7
202,0,121,8.7
48,0,13,8.7
81,1,145,8.7
5,1,2,8.7
25,0,145,8.7
111,0,121,8.7
13,0,163,8.7
113,0,-1,8.7
13,0,14,8.7
85,0,13,8.7
114,1,25,8.7
51,0,497,8.7
141,0,121,8.7
40,1,5,8.7
13,0,121,8.7
164,1,38,8.7
24,0,223,8.7
150,1,5,8.7
13,0,41,8.7
89,1,121,8.7
24,0,-1,8.7
98,0,8,8.7
223,0,51,8.7
412,1,25,8.7
497,0,25,8.7
497,1,51,8.7
164,1,121,8.7
201,0,145,8.7
5,1,145,8.7
516,1,25,8.7
12,0,-1,8.7
164,1,122,8.7
12,1,145,8.7
81,1,121,8.7
18,1,86,8.7
164,1,-1,8.7
40,0,12,8.7
43,0,25,8.7
8,0,-1,8.7
64,0,121,8.7
267,1,24,8.7
31,0,13,8.8
268,1,121,8.8
8,0,-1,8.8
25,1,157,8.8
145,1,64,8.8
122,1,2,8.8
145,0,53,8.8
76,0,13,8.8
2,1,76,8.7
48,0,51,8.7
497,1,5,8.7
48,0,145,8.7
59,0,-1,8.7
8,1,121,8.7
72,0,154,8.7
222,0,86,8.6
24,1,51,8.6
31,1,145,8.6
14,1,223,8.6
27,0,76,8.6
201,0,50,8.6
48,0,76,8.6
72,0,121,8.6
412,1,51,8.6
142,1,51,8.6
498,1,13,8.6
25,1,41,8.6
72,0,50,8.6
81,0,69,8.6
202,0,498,8.6
29,1,223,8.6
24,0,223,8.6
498,1,41,8.6
201,0,-1,8.6
2,0,145,8.6
143,0,-1,8.6
41,1,145,8.6
68,1,145,8.6
2,0,30,8.6
89,0,2,8.6
223,1,-1,8.6
164,0,50,8.6
12,0,145,8.6
41,0,27,8.6
113,1,2,8.6
14,0,2,8.6
69,1,136,8.6
223,0,2,8.6
245,1,51,8.6
201,0,154,8.6
268,0,50,8.6
69,0,498,8.6
202,0,3,8.6
4,0,24,8.6
14,0,13,8.6
8,1,-1,8.6
164,0,76,8.6
48,0,223,8.6
41,1,268,8.6
68,1,202,8.6
268,0,2,8.6
421,0,223,8.6
157,1,-1,8.6
114,0,498,8.6
81,1,222,8.6
202,1,24,8.6
31,1,105,8.6
38,0,76,8.6
110,0,51,8.6
64,0,76,8.6
110,1,56,8.6
145,0,223,8.6
2,1,223,8.6
51,0,498,8.5
223,0,50,8.5
14,1,2,8.5
13,0,69,8.5
41,1,-1,8.5
24,1,-1,8.5
268,1,-1,8.5
72,0,126,8.5
110,1,268,8.5
18,0,498,8.5
59,0,142,8.5
45,1,3,8.5
201,0,268,8.5
164,1,110,8.5
110,0,24,8.5
150,0,14,8.5
110,1,121,8.5
24,0,121,8.5
223,1,69,8.5
113,0,14,8.5
223,1,3,8.5
76,0,121,8.5
50,1,72,8.5
81,1,3,8.4
81,0,3,8.4
59,0,110,8.4
497,1,498,8.4
110,0,223,8.4
81,0,268,8.4
126,1,14,8.4
516,0,164,8.4
81,0,13,8.4
81,0,498,8.4
98,1,81,8.4
113,1,41,8.4
114,0,76,8.4
67,0,41,8.4
245,0,497,8.4
154,1,76,8.4
48,0,3,8.4
110,0,3,8.4
17,0,76,8.4
42,1,4,8.4
8,1,40,8.3
114,1,76,8.3
498,1,107,8.3
76,1,201,8.3
19,0,497,8.3
412,1,201,8.3
22,0,154,8.3
38,0,164,8.3
84,0,41,8.3
412,0,201,8.3
2,0,39,8.8
13,1,64,8.8
163,0,223,8.8
14,1,39,8.8
164,1,223,8.8
51,1,50,8.8
164,1,25,8.8
51,0,223,8.8
64,0,3,8.8
8,1,76,8.8
122,1,121,8.8
121,0,16,8.8
2,0,-1,8.7
268,1,2,8.7
157,0,164,8.7
48,1,51,8.7
48,0,498,8.7
51,0,38,8.7
25,1,-1,8.7
154,1,114,8.7
2,0,41,8.7
43,0,121,8.7
43,1,145,8.7
8,0,39,8.7
76,0,145,8.6
13,0,41,8.6
145,1,268,8.6
69,0,-1,8.6
51,0,121,8.6
13,0,105,8.6
164,0,121,8.6
98,1,27,8.6
497,0,-1,8.6
420,0,50,8.6
81,0,126,8.6
81,0,13,8.6
164,1,14,8.6
223,0,24,8.6
79,0,145,8.6
164,1,154,8.6
14,0,114,8.6
13,1,240,8.6
42,1,-1,8.6
163,1,267,8.6
76,0,-1,8.6
81,0,13,8.6
8,0,516,8.6
12,1,8,8.6
16,0,142,8.6
40,0,154,8.6
201,0,164,8.6
96,0,164,8.5
38,0,91,8.5
31,0,412,8.5
245,0,5,8.5
150,0,498,8.5
223,1,164,8.5
110,1,81,8.5
202,0,-1,8.5
201,1,2,8.5
25,0,12,8.5
98,1,498,8.5
22,1,-1,8.5
18,1,50,8.5
90,0,50,8.5
75,1,412,8.5
72,0,498,8.5
16,0,2,8.5
76,1,164,8.5
41,0,13,8.5
114,0,81,8.5
202,0,2,8.5
31,1,164,8.5
154,0,105,8.5
201,0,13,8.5
18,1,24,8.5
113,1,268,8.5
24,1,163,8.5
69,1,121,8.5
150,0,3,8.5
48,0,2,8.5
41,1,114,8.5
72,0,268,8.5
145,1,498,8.5
69,0,105,8.5
223,1,114,8.5
145,1,164,8.5
90,1,122,8.5
30,1,76,8.5
12,0,13,8.5
18,0,-1,8.5
31,0,12,8.5
81,1,498,8.5
50,1,223,8.5
202,0,498,8.5
121,0,113,8.5
150,1,-1,8.5
268,1,76,8.5
154,1,110,8.5
81,1,497,8.5
163,0,14,8.5
59,0,2,8.5
223,0,12,8.5
41,1,-1,8.5
51,1,14,8.5
14,0,50,8.5
69,1,13,8.5
268,0,498,8.5
18,0,41,8.5
102,1,131,8.5
13,1,163,8.5
18,0,72,8.5
223,0,497,8.5
12,0,4,8.5
50,1,13,8.5
6,1,497,8.5
8,0,13,8.5
498,0,2,8.5
110,0,-1,8.5
113,0,154,8.5
201,0,498,8.5
81,0,154,8.5
41,1,497,8.5
164,1,-1,8.5
18,1,24,8.5
164,1,142,8.5
126,0,14,8.5
24,0,72,8.5
31,0,-1,8.4
223,0,72,8.4
201,0,268,8.4
98,1,223,8.4
122,0,164,8.4
67,0,-1,8.4
163,1,41,8.4
114,0,223,8.4
18,1,268,8.4
3,0,13,8.4
64,1,50,8.4
24,1,28,8.4
76,0,164,8.4
412,1,268,8.4
24,1,223,8.4
81,0,3,8.4
72,1,24,8.4
3,1,38,8.4
24,0,121,8.4
81,1,121,8.4
76,0,72,8.8
14,1,25,8.8
8,0,2,8.8
141,0,498,8.8
412,0,41,8.8
163,0,121,8.8
48,1,50,8.8
13,1,164,8.8
43,0,28,8.8
2,0,145,8.8
78,0,24,8.8
27,0,497,8.8
25,1,5,8.8
238,1,13,8.8
14,1,25,8.8
76,0,41,8.8
12,0,-1,8.8
79,0,69,8.8
126,1,2,8.8
28,1,2,8.8
58,0,-1,8.8
114,1,-1,8.8
25,1,76,8.8
38,0,497,8.8
41,1,25,8.8
16,0,121,8.8
266,1,-1,8.8
57,0,72,8.8
164,0,-1,8.8
113,1,8,8.8
202,1,99,8.8
41,1,25,8.8
114,0,142,8.8
25,1,145,8.8
8,0,5,8.8
103,1,39,8.8
498,0,5,8.8
2,0,497,8.8
8,0,25,8.8
43,1,25,8.8
7,1,-1,8.8
25,1,43,8.8
27,1,51,8.8
136,1,164,8.8
7,0,14,8.8
69,0,7,8.8
69,1,-1,8.8
14,0,223,8.8
72,0,13,8.8
121,1,25,8.8
145,1,56,8.8
7,1,25,8.8
164,1,25,8.8
54,0,-1,8.8
13,0,25,8.8
201,1,25,8.8
145,0,-1,8.8
516,0,39,8.8
498,1,25,8.8
43,0,2,8.8
48,1,121,8.8
497,1,111,8.8
24,1,-1,8.8
121,0,142,8.8
5,1,145,8.8
69,1,-1,8.8
13,0,-1,8.8
39,1,136,8.8
2,0,25,8.8
48,1,142,8.8
202,0,2,8.8
92,0,164,8.8
127,0,50,8.8
498,1,51,8.8
8,1,498,8.8
76,1,164,8.7
497,0,164,8.7
81,1,24,8.7
